Timestamp,Machine_Name,reg_address,value
14:15:19:808,AM323,D_31845,0000
14:15:19:814,AM323,D_31847,0000
14:15:19:840,AM323,D_31855,0000
14:15:19:844,AM323,D_31856,0000
14:15:19:866,AM323,D_31862,0000
14:15:19:883,AM323,D_31867,0000
14:15:19:902,AM323,D_31873,0000
14:15:19:906,AM323,D_31874,0000
14:15:19:922,AM323,D_31879,0000
14:15:19:939,AM323,D_31883,0000
14:15:19:951,AM323,D_31887,0000
14:15:19:954,AM323,D_31888,0000
14:15:19:968,AM323,D_31892,0000
14:15:19:981,AM323,D_31896,0000
14:15:19:059,AM323,D_31624,0002
14:15:19:100,AM323,D_31637,0000
14:15:19:117,AM323,D_31642,0000
14:15:19:121,AM323,D_31643,0000
14:15:19:143,AM323,D_31650,0000
14:15:19:197,AM323,D_31666,0000
14:15:19:214,AM323,D_31671,0000
14:15:19:254,AM323,D_31683,0000
14:15:19:263,AM323,D_31686,0000
14:15:19:285,AM323,D_31693,0000
14:15:19:298,AM323,D_31697,0000
14:15:19:302,AM323,D_31698,0000
14:15:19:309,AM323,D_31700,0000
14:15:19:330,AM323,D_31706,0000
14:15:19:336,AM323,D_31708,0000
14:15:19:345,AM323,D_31711,0000
14:15:19:352,AM323,D_31713,0000
14:15:19:374,AM323,D_31720,0000
14:15:19:383,AM323,D_31722,0000
14:15:19:405,AM323,D_31727,0000
14:15:19:408,AM323,D_31728,0000
14:15:19:421,AM323,D_31732,0000
14:15:19:424,AM323,D_31733,0000
14:15:19:444,AM323,D_31737,0000
14:15:19:450,AM323,D_31739,0000
14:15:19:453,AM323,D_31740,0000
14:15:19:466,AM323,D_31744,0000
14:15:19:480,AM323,D_31748,0000
14:15:19:490,AM323,D_31751,0000
14:15:19:499,AM323,D_31754,0000
14:15:19:505,AM323,D_31756,0000
14:15:19:515,AM323,D_31759,0000
14:15:19:519,AM323,D_31760,0000
14:15:19:533,AM323,D_31764,0000
14:15:19:536,AM323,D_31765,0000
14:15:19:547,AM323,D_31768,0000
14:15:19:553,AM323,D_31770,0000
14:15:19:559,AM323,D_31772,0000
14:15:19:562,AM323,D_31773,0000
14:15:19:575,AM323,D_31777,0000
14:15:19:578,AM323,D_31778,0000
14:15:19:582,AM323,D_31779,0000
14:15:19:597,AM323,D_31783,0000
14:15:19:614,AM323,D_31788,0000
14:15:19:625,AM323,D_31792,0000
14:15:19:639,AM323,D_31796,0000
14:15:19:645,AM323,D_31798,0000
14:15:19:648,AM323,D_31799,0000
14:15:19:671,AM323,D_31805,0000
14:15:19:680,AM323,D_31808,0000
14:15:19:699,AM323,D_31814,0000
14:15:19:703,AM323,D_31815,0000
14:15:19:706,AM323,D_31816,0000
14:15:19:712,AM323,D_31818,0000
14:15:19:725,AM323,D_31821,0000
14:15:19:728,AM323,D_31822,0000
14:15:19:732,AM323,D_31823,0000
14:15:19:739,AM323,D_31825,0000
14:15:19:743,AM323,D_31826,0000
14:15:19:753,AM323,D_31829,0000
14:15:19:756,AM323,D_31830,0000
14:15:19:759,AM323,D_31831,0000
14:15:19:762,AM323,D_31832,0000
14:15:19:774,AM323,D_31836,0000
14:15:19:777,AM323,D_31837,0000
14:15:19:783,AM323,D_31839,0000
14:15:19:786,AM323,D_31840,0000
14:15:19:799,AM323,D_31843,0000
14:15:19:802,AM323,D_31844,0000
14:15:19:811,AM323,D_31846,0000
14:15:19:817,AM323,D_31848,0000
14:15:19:820,AM323,D_31849,0000
14:15:19:823,AM323,D_31850,0000
14:15:19:826,AM323,D_31851,0000
14:15:19:829,AM323,D_31852,0000
14:15:19:832,AM323,D_31853,0000
14:15:19:836,AM323,D_31854,0000
14:15:19:847,AM323,D_31857,0000
14:15:19:850,AM323,D_31858,0000
