Timestamp,Machine_Name,reg_address,value
14:15:15:234,AM322,D_31645,0000
14:15:15:237,AM322,D_31646,0000
14:15:15:240,AM322,D_31647,0000
14:15:15:243,AM322,D_31648,0000
14:15:15:246,AM322,D_31649,0000
14:15:15:248,AM322,D_31650,0000
14:15:15:251,AM322,D_31651,0002
14:15:15:254,AM322,D_31652,0002
14:15:15:257,AM322,D_31653,0002
14:15:15:259,AM322,D_31654,0002
14:15:15:262,AM322,D_31655,0002
14:15:15:265,AM322,D_31656,0002
14:15:15:268,AM322,D_31657,0002
14:15:15:270,AM322,D_31658,0002
14:15:15:273,AM322,D_31659,0004
14:15:15:276,AM322,D_31660,0002
14:15:15:280,AM322,D_31661,0002
14:15:15:283,AM322,D_31662,0002
14:15:15:286,AM322,D_31663,0000
14:15:15:289,AM322,D_31664,0000
14:15:15:292,AM322,D_31665,0000
14:15:15:295,AM322,D_31666,0000
14:15:15:298,AM322,D_31667,0000
14:15:15:301,AM322,D_31668,0000
14:15:15:304,AM322,D_31669,0000
14:15:15:307,AM322,D_31670,0000
14:15:15:309,AM322,D_31671,0000
14:15:15:312,AM322,D_31672,0000
14:15:15:315,AM322,D_31673,0000
14:15:15:318,AM322,D_31674,0000
14:15:15:321,AM322,D_31675,0000
14:15:15:324,AM322,D_31676,0000
14:15:15:327,AM322,D_31677,0000
14:15:15:330,AM322,D_31678,0000
14:15:15:332,AM322,D_31679,0000
14:15:15:335,AM322,D_31680,0000
14:15:15:341,AM322,D_31681,0000
14:15:15:344,AM322,D_31682,0000
14:15:15:347,AM322,D_31683,0000
14:15:15:350,AM322,D_31684,0000
14:15:15:353,AM322,D_31685,0000
14:15:15:356,AM322,D_31686,0000
14:15:15:358,AM322,D_31687,0000
14:15:15:361,AM322,D_31688,0000
14:15:15:364,AM322,D_31689,0000
14:15:15:367,AM322,D_31690,0000
14:15:15:370,AM322,D_31691,0000
14:15:15:373,AM322,D_31692,0000
14:15:15:376,AM322,D_31693,0000
14:15:15:378,AM322,D_31694,0000
14:15:15:381,AM322,D_31695,0000
14:15:15:384,AM322,D_31696,0000
14:15:15:387,AM322,D_31697,0000
14:15:15:390,AM322,D_31698,0000
14:15:15:393,AM322,D_31699,0000
14:15:15:396,AM322,D_31700,0000
14:15:15:401,AM322,D_31701,0000
14:15:15:403,AM322,D_31702,0000
14:15:15:406,AM322,D_31703,0000
14:15:15:409,AM322,D_31704,0000
14:15:15:412,AM322,D_31705,0000
14:15:15:428,AM322,D_31706,0000
14:15:15:432,AM322,D_31707,0000
14:15:15:436,AM322,D_31708,0000
14:15:15:440,AM322,D_31709,0000
14:15:15:448,AM322,D_31710,0000
14:15:15:452,AM322,D_31711,0000
14:15:15:456,AM322,D_31712,0000
14:15:15:460,AM322,D_31713,0000
14:15:15:468,AM322,D_31714,0000
14:15:15:472,AM322,D_31715,0000
14:15:15:476,AM322,D_31716,0000
14:15:15:484,AM322,D_31717,0000
14:15:15:492,AM322,D_31718,0000
14:15:15:495,AM322,D_31719,0000
14:15:15:500,AM322,D_31720,0000
14:15:15:506,AM322,D_31721,0000
14:15:15:512,AM322,D_31722,0000
14:15:15:516,AM322,D_31723,0000
14:15:15:524,AM322,D_31724,0000
14:15:15:528,AM322,D_31725,0000
14:15:15:532,AM322,D_31726,0000
14:15:15:540,AM322,D_31727,0000
14:15:15:544,AM322,D_31728,0000
14:15:15:548,AM322,D_31729,0000
14:15:15:552,AM322,D_31730,0000
14:15:15:560,AM322,D_31731,0000
14:15:15:564,AM322,D_31732,0000
14:15:15:572,AM322,D_31733,0000
14:15:15:576,AM322,D_31734,0000
14:15:15:580,AM322,D_31735,0000
14:15:15:584,AM322,D_31736,0000
14:15:15:588,AM322,D_31737,0000
14:15:15:594,AM322,D_31738,0000
